review,sentiment
"I like the good things in life as much as anybody, I suppose, but until about five years ago, opera didn't figure into my entertainment choices. Oh, I made a few attempts to learn what all the fuss was about; I'd watched several television productions -- notably parts of Wagner's Ring Cycle on public television -- hoping to understand other people's fascination with the art form. And I knew I could like parts of various operas (I remember being surprised as a kid that I actually LIKED the snippets of ""Madame Butterfly"" in ""My Geisha, and I enjoyed the opera scenes in ""Moonstruck"" and ""Pretty Woman""), but unlike the characters in those films, I just didn't ""get it.""<br /><br />Then in 1995 I saw a live performance of ""Rigoletto"" presented by the New York City Opera Company, and that night I ""got it."" What a wonderful, glorious pageant of color and music and raw Emotion! And I do mean Emotion with a capital E! The key, I think, is that the operatic music allows the performers to over-act freely and believably in a way that would seem silly if their words were just spoken. Everything hinges on the music, of course, and when the music is magical, as it is in ""Rigoletto,"" an opera can be a magnificent entertainment.<br /><br />A sympathetic family member gave me a laserdisc copy of the 1982 TV production of the opera, and I've found that since I can't see live performances of ""Rigoletto"" live on a regular basis, this video version is a fine substitute. Luciano Pavarotti is perfect in the part of the Duke; Ingvar Wixell is excellent as his mean-spirited court jester Rigoletto; and Rigoletto's beloved daughter Gilda is played by the somewhat plain-featured Edita Gruberova. The sets and costumes are lavish, and the location shots on the river late in the film bring a heightened sense of drama to the story that could never be matched on a stage.<br /><br />If you've never seen ""Rigoletto,"" or if you think you don't like or understand opera, I urge you to find this one on videotape and buy it or rent it. If you don't like this, if this production of ""Rigoletto"" doesn't make you appreciate the power of the art form of opera, well, just give it up and move on to something else. But I suspect, if you're new to opera as I was, that you'll be pleasantly surprised.<br /><br />Bill Anderson",positive
"Despite all it's trappings of style and cinematic invention, this is basically another serial killer thriller, following the same sort of plotline favoured by such old favourites as Silence of the Lambs ? team of cops follows the trail of (particularly nasty) murders, someone else gets taken and they somehow have to find out where they are before it's too late. Only in this case, the only person who knows, the killer himself (powerfully played by Vincent D'Onofrio) is in a coma and we need psychologist Jennifer Lopez' sci-fi mind-meld machine to get into his head and force him to tell all. This is where the film gets all new and different, as we enter (via a 21st-Century CGI update of Dr Who's kaleidoscopic favourite, the trendy time tunnel) a kind of Hellraiser-y weird world of scary crazy stuff going on all over the place, ruled over by D'Onofrio, now a kind of superking overlord of his twisted mental world, inside his comatose body. The inside-the-mind sequences are well realised and often pretty stunning, all the leads perform adequately, the gruesomeness is to the max if you like that kind of thing, but the hype around the whole thing led to a disappointment for me, as I had expected something completely new and unlike anything ever done before, not this fairly successful blending of serial-killer and special-effect-horror genre staples. Sometimes horrifying, often pretty, a fairly gripping story told with care and attention by talented film people, but by no means the great leap into the unknown it has been marketed as.",positive
"I hadn't heard of Soap Girl but I saw a poster with a five star review from Film Threat outside the theater so I figured, how bad could it be? Well, I soon found out. My god this film was awful. The most wooden acting I have ever seen outside of a porn flick. Absolutely agonizing dialogue. I just can't understand how this was made and why anyone agreed to be a part of it. And I find it completely unfathomable that this was actually being shown in a theater and money was being charged to see it. How did this happen????? And most importantly WHAT THE WAS THE GUY FROM FILM THREAT THINKING?!?!?!?!",negative
"You can find an anti-war statement here without looking too hard; that layer is hackneyed. Or you can find a value neutral comment on the madness of war (stripped of ""judgement""); that layer is completely uninteresting.<br /><br />Or you can watch this for the darn good entertainment value of Duvall's one-liners, but that's just a coating for commercial mastication.<br /><br />You can try to view this as a 'realistic' Vietnam war film, but ask any veteran and he'll swat down that notion -- most vets will say it stinks.<br /><br />Or view it as a 'will he or won't he' morality play -- nothing rich there, either.<br /><br />Where I found the value was in the superb self-reference. Coppola needed a container with great enough dimensions (the war) to fit the greatness of the skilled multi-dimensional actor playing 'a great man'.<br /><br />Brando the man was as much of a maverick as the Kurtz character. The studios were uncomfortable with his acting 'method', yet he always excelled and won accolades; the 'generals' are uncomfortable with Kurtz's 'unsound methods', in spite of his strategic genius.<br /><br />So Coppola makes a movie all about Brando's greatness. To hammer on the point, he places himself in the movie (as Hopper, a manic photojournalist laden with multiple cameras) to spout his praises. Brando himself is only seen in half-light and silhouettes -- brilliant cinematography by Storaro that only increases the actor's power. And he goes out like the sacrificial bull to complete the narrative equation. Oh, yes: ""the horror..."" <br /><br />Other pieces of interest: the great use of point of view camera perspectives, including 'being in the firefight' long before ""Private Ryan""; the ground breaking use of sound, notably the ominous flanging sweeps and the sonic depiction of an acid trip.<br /><br />Don't get caught in the outer layers; the rich part you should despoil from this is the brilliant core of sound, vision and self-reference.",positive
"Wonderful romance comedy drama about an Italian widow (Cher) who's planning to marry a man she's comfortable with (Danny Aiello) until she falls for his headstrong, angry brother (Nicholas Cage). The script is sharp with plenty of great lines, the acting is wonderful, the accents (I've been told) are letter perfect and the cinematography is beautiful. New York has never looked so good on the screen. A must-see primarily for Cher and Olympia Dukakis--they're both fantastic and richly deserved the Oscars they got. A beautiful, funny film. A must see!",positive
"Excellent episode, showed Dean has not only good taste by picking Cassie for his girlfriend but also shows he does have a heart and can love just one woman, and he's not just some guy who loves and leaves em! Aweso e episode. Applaud them on this one. I only hope that some way they go back to the Cassie relationship next season (if there is a next season??) i would like to see her come back into their ""supernatural"" lives especially Dean's. Also I like the fact the chose an African-American woman to be the special lady in his life that got away somehow. I hope they don't screw that up and end it as he episdoe ended. The girl who played Cassie was truly a looker and it was good to see the WB branching out into what we all see in everyday life-the interacial coupling that has become common and acceptable(finally!)",positive
"First of all , you should watch this only if you don't mind the lack of subtitles , pornography , kinky sex and utter , horrifying and truly shocking depravity . I mentioned kinky sex , but to call sex in the second half of the movie "" kinky "" would be a great understatement . It's more like a punch in the face if you aren't prepared for this sort of sickness . That being said , I can go back to reviewing this morbid piece of pseudo - snuff genre brought to us by our fellow Japanese .<br /><br />The plot seems to be fairly basic , almost nonexistent : a girl is hired to perform in amateur porn movie . Don't expect much in first 30 - 40 minutes . There is some dialog - if you don't speak Japanese it's not going to mean much to you - that seems to be an occasional chatting between the girl and the crew & performer , then there is some porn ( straight sex ) , and after the scene is finished the performers and the crew take a break . And then ... it starts to happen .<br /><br />It seems that the girl is talked into performing one more scene - this time tied with the rope . The abuse begins : whipping , slapping , hot wax ... In the end , girl breaks down and cries . They untie her .<br /><br />Then we see performers and crew sitting at the table as if nothing had happened - except for the girl . She is visibly shaken and looks like she wants to leave . She walks to the door , sits on the floor to put her shoes on ... and that's when hell breaks loose .<br /><br />She is hit in the head with the baseball bat , her wound is treated , she is tied to the bed . What ensues can be briefly described ( I'm not going to spoil everything for you ) as rape during dismemberment . Think of "" Flower of flesh and blood "" , mix it with porn and you will get the idea .It goes on for about 20 minutes or so . SFX are very good , makeup too . Everything is shown , with no mercy for the viewer . You have been warned .<br /><br />I thought "" Visitor Q "" was a very sick movie . After watching "" Niku daruma "" it looked like a fairytale to me .This movie is so sick , so depraved , so twisted , so disgusting that the harshest words pale in comparison to it's finale . Too bad it's released only on VHS so there are no subtitles available . But the movie still works without them . So , if you are into ultra sickness , extreme sadism and other beauties of this beloved genre , check this out . I hope you won't have nightmares .8/10 .",positive
"This is my first Deepa Mehta film. I saw the film on TV in its Hindi version with its ""Sita"" character presented as Nita. I also note that it is Radha who underwent the allegorical trial by fire in the film and not Nita/Sita. Yet what I loved about the film was its screenplay by Ms Mehta, not her direction. The characters, big and small, were well-developed and seemed quixotic towards the end--somewhat like the end of Mazursky's ""An Unmarried Woman."" They are brave women surrounded by cardboard men. And one cardboard man (Ashok) seems to come alive in the last shot we see of him---carrying his invalid mother Biji. He seems to finally take on a future responsibility beyond celibacy and adherance to religion. <br /><br />Ms Mehta seems to fumble as a director (however, compared to most Indian mainstream cinema she would seem to be brilliant) as she cannot use her script to go beyond the microscopic joint family she is presenting except presenting a glimpse of the Chinese micro-minority in the social milieu of India. She even dedicates the film to her mother and daughter (not her father!) Yet her Radha reminesces of halcyon days with both her parents in a mustard field. Compare her to Mrinal Sen, Adoor Gopalakrishnan, Muzaffar Ali and she is dwarfed by these giants--given her competent Canadian production team and financial resources! Mehta's film of two bisexual ladies in an Indian middle-class household may be sacrilege to some, but merely captures the atrophy of middle-class homes that does not seem to aspire for something better than its immediate survival in a limited social space. Kannada, Malayalam, and Bengali films have touched parallel themes in India but did not have the publicity that surrounded this film and therefore have not been seen by a wide segment of knowledgeable cinemagoers.<br /><br />Ms Das, Ms Azmi, Mr Jafri and Mr Kharbanda are credible but not outstanding. Ms Azmi is a talented actress who gave superb performances under good directors (Mrinal Sen's ""Khandar"", Gautam Ghose's ""Paar"", Benegal's ""Ankur"") a brilliance notably absent in this film. Ms Das sparkled due to her screen presence rather than her acting capability. All in all, the film's strength remains in the structure of the screenplay which is above average in terms of international cinema. I am sure Ms Mehta can hone her writing talents in her future screenplays.",positive
"There is such rubbish on the cable movie channels that I hit a gem with this one. From beginning to end it had me gripped and deserves top marks.<br /><br />Father of two sons hears messages from ""God"" to kill people who he is told are 'demons'.<br /><br />When the opening credits showed the director as one of the cast that can often be a warning of a bad film; exceptionally it is the reverse here as the drama is non-stop from beginning to end.<br /><br />And there is not one moment in the movie when one is not fully enthralled as there are no unnecessary or needless sub-plots, and the script is first class. <br /><br />All the actors give wholly convincing performances especially the lead child actor who is exceptional. <br /><br />This film is at least as good as the likes of 'Silence of the Lambs'.",positive
"This movie was yet another waste of time... Why oh why do I keep renting crap like this?... someone please tell me... *sigh* Oh well. back to the movie at hand: Cube Zero is probably worth it if you REALLY REALLY enjoyed the first movie, (like I did), and just want to check out what's up in the last (hopefully) movie scraped together just to keep some poor actors and screenwriters employed, then of course this is the movie for you. But if you are looking for a good movie with good acting and a fantastic plot... *evil grin* then this movie is definitely for you :-D.... OK I'm lying... At best this movie sucks. OK, I have to admit that certain elements to it was cool.. well.. coolish... and I laughed quite a few times, prolly at the wrong things, but nevertheless I was amused. :-) But all in all the few things that barely makes the ""ok"" category isn't enough to make this movie worth it at all.. Unless you count ""Manos - Hand of Fate"" one of the top ten movies EVER!",negative
"This 1984 version of the Dickens' classic `A Christmas Carol,' directed by Clive Donner, stars George C. Scott as Ebenezer Scrooge. By this time around, the challenge for the filmmaker was to take such familiar material and make it seem fresh and new again; and, happily to say, with this film Donner not only met the challenge but surpassed any expectations anyone might have had for it. He tells the story with precision and an eye to detail, and extracts performances from his actors that are nothing less than superlative, especially Scott. One could argue that the definitive portrayal of Scrooge-- one of the best known characters in literary fiction, ever-- was created by Alastair Sim in the 1951 film; but I think with his performance here, Scott has now achieved that distinction. There is such a purity and honesty in his Scrooge that it becomes difficult to even consider anyone else in the role once you've seen Scott do it; simply put, he IS Scrooge. And what a tribute it is to such a gifted actor; to be able to take such a well known figure and make it so uniquely his own is quite miraculous. It is truly a joy to see an actor ply his trade so well, to be able to make a character so real, from every word he utters down to the finest expression of his face, and to make it all ring so true. It's a study in perfection.<br /><br />The other members of the cast are splendid as well, but then again they have to be in order to maintain the integrity of Scott's performance; and they do. Frank Finlay is the Ghost of Jacob Marley; a notable turn, though not as memorable, perhaps, as the one by Alec Guinness (as Marley) in the film, `Scrooge.' Angela Pleasence is a welcome visage as the Spirit of Christmas Past; Edward Woodward, grand and boisterous, and altogether convincing as the Spirit of Christmas Present; and Michael Carter, grim and menacing as the Spirit of Christmas Yet To Come.<br /><br />David Warner hits just the right mark with his Bob Cratchit, bringing a sincerity to the role that measures up well to the standard of quality set by Scott's Scrooge, and Susannah York fares just as well as Mrs. Cratchit. The real gem to be found here, though, is the performance of young Anthony Walters as Tiny Tim; it's heartfelt without ever becoming maudlin, and simply one of the best interpretations-- and the most real-- ever presented on film.<br /><br />The excellent supporting cast includes Roger Rees (Fred Holywell, and also the narrator of the film), Caroline Langrishe (Janet Holywell), Lucy Gutteridge (Belle), Michael Gough (Mr. Poole) and Joanne Whalley (Fan). A flawless presentation, this version of `A Christmas Carol' sets the standard against which all others must be gauged; no matter how many versions you may have seen, watching this one is like seeing it for the first time ever. And forever after, whenever you think of Scrooge, the image your mind will conjure up will be that of George C. Scott. A thoroughly entertaining and satisfying experience, this film demands a place in the annual schedule of the holiday festivities of every home. I rate this one 10/10.",positive
"This movie is an amusing and utterly sarcastic view of pop culture and the producers thereof. I was impressed with the photography that consisted of vivid colors and spin doctored settings, especially when you think that this is Zukovic's first large scale attempt.<br /><br />One warning, do not take the movie's message that seriously. It is not for mass consumption ( and that is not a compliment). The message is a somewhat stylized post-college, neophyte view of society.<br /><br />I did enjoy the basic plot line of a fictitious 'zine editor verbally whipping the mobocracy of the 90's.",positive
"I first read about the Left Behind series a few months ago and made a mental note to check it out since I have an interest in the way religion is used to control people in our ever more hate filled world, so imagine my surprise and joy when I found a copy of Left Behind : World at War in my local library, nestling innocently among the big budget action movies.<br /><br />Now as a movie it's extremely poor. The acting is straight out of an elementary school production and the ""special effects"" would have looked dated in the early 90's. Being the third part of a series the story would be unintelligible to anyone who hadn't seen or read about the other Left Behind movies, and even with my prior knowledge it was still pretty laughable.<br /><br />On the religious front, I don't think anyone who wasn't already filled with the spirit of the lord would find anything in the movie to convince them to change their ways. How are you supposed to fear the Antichrist when he's got a comedy Russian accent, and the worst of his powers are some pitiful CGI?<br /><br />However, my main problem with this movie is the blatant attempt to try and dupe people into believing that it's a big budget action movie. Upon picking up the box and reading the spiel I immediately noticed something odd...nowhere on the packaging was there a mention of the true nature of this film. To someone not in the know it would appear for all intents and purposed that Left Behind : World at War was no different from the latest Tom Clancey. Nor, on the copy that I rented did it say anything about it being the third in a series.<br /><br />Considering the whole premise of the series is that the Antichrist has deceived the whole world, I find it extremely hypocritical that the film makers tried to deceive me TWICE before I even got the to counter! If you're so firm in your beliefs then why not be honest about it?<br /><br />The simple fact is, had this not been a ""Christian"" movie with the built in fan base that goes with it, I seriously doubt it would ever have seen the light of day. If Cloud Ten were hoping that I'd see the error of my ways and give myself to God, I'm afraid to say I would have died of boredom and/or laughed myself to death before I ever had the chance.",negative
"Hello. this is my first review for any movie i have seen. i went through the trouble of doing this to tell everyone that this is quite literally, the most disgusting movie i have ever seen. I feel like the movie was porely made, which i will give some understanding due to budget constraints on making it. I felt like i was watching a very bad remake of the movie saw. Which i can agree, saw as well is also very graphic, but, i did like the movie saw.<br /><br />The scene where he takes the hammer to the head of the tied up victim in the chair is the most disturbing scene i have seen. the scene lasted almost forever, well actually, it was probably around 5 min but still. i want to note that i like some horror movies and i do give credit if they are good. this director uwe boll, and his group of people used to make this movie should think it over before making another one similar to this one. one final note haha!! FOR ALL THE PEOPLE WHO ENJOY WATCHING ANIMALS BEATIN TO DEATH, LETTING ROT, WITH WOMEN AND CHILDREN AS WELL AND A FIVE MINUTE SCENE OF SOMEONE GETTING THERE HEAD SMASHED IN WITH A HAMMER then you will enjoy this movie, if not, and you like horror, go with a higher budget film, like saw for example. I cant believe people actually make movies like this. anyway sorry to anyone who loves uwe boll and took it to heart, this is just my opinion on the movie.",negative
"""The Brak Show "" is good .Probably not in the same level than ""Aqua Teen Hunger "" or ""Space Ghost Coast to Coast "", but definitely it have many brilliant moments .Basically it follows the life of Zorak and Brak that have normal lives and go to the school ,living in a neighborhood on the style of the 50 'sitcoms . The humor and the animation of this show it's very much as ""Aqua Teen Hunger "" (and in one episode you could see Meatwad) with bizarre situations and strange characters .But it is good ,it have funny parts . Some of the songs are great ,others not very much but I like this show . The funniest character is the father of Brak . (that is a human ,nobody knows why )",positive
"First off, I absolutely loved this movie. As a Billy Crystal fan, I must say that I was expecting more comedic situations than I actually got. However, it was nice to see him in a role with more depth and emotion. His portrayal of talent agent Sammy was brilliantly performed and uniquely him. In addition, Gheorghe Muresan (as Maximus) was superb in his first film role. When Sammy goes to Romania to visit his client on location he has his world turned upside down. He never expected that he would accidentally find the one person who could change his life. Sammy and Max's journey is unique and moving, and even humorous at times. Plus, the location in Czech Republic where parts of the film were shot, was absolutely beautiful. I have to say, this dramatic comedy had me feeling a variety of emotions. I thought it was excellent and I would recommend it to anyone and everyone.",positive
"Gake no Ue no Ponyo is a beautifully animated film and a relief from the many heartless soulless CGI movies being made. The pastel and color pencil backgrounds were a surprise after Sen to Chihiro no Kamikakushi(Spirited Away) and Hauru no Ugoku Shiro(Howl's Moving Castle) being so similar stylistically. The style worked well for the film and was done exceptionally well. The time and effort put in to animate this is greatly appreciated as it gives the characters so much more life, the detail and care it takes makes the movie turn out so much better. There are several great scenes throughout the movie that have lots of movement and action. The greatest to me being a scene were Ponyo's sisters transform into massive wave like fish while she runs on top of them. The story is simple but fairly well written and played out. The plot stayed focused around character relationships and while it wasn't played out as well as in Tonari no Totoro(My Neighbor Totoro) it is still great. I felt that each character had the an appropriate amount of screen time unlike Spirited Away which was so jammed with distinctive characters that it could have been stretched out into an entire series.(The Radish Spirit. There was a another whole movie right there!) My only real problem with the movie was the end. The way its worded in the English version at least makes it seem like there's going to be some great test given to Sōsuke which turns out to be just him promising Ponyos mother that he will love Ponyo. Though putting more thought into this leads me to think that translation may not be that accurate to the actual meaning in that the test is the promise and that deep down he really means it. The movie did seem to end abruptly though. Other than that the movie was great and I highly recommend it.",positive
"For a kid's movie, this is great. As an adult and mother, I enjoyed watching the movie with my daughter. There is a lot going on in this movie. The following *might* be considered a *spoiler*... Barbie learns courage and learns not to judge others so quickly in this movie. She also learns not to give up hope and to master her anger. I loved the sense of teamwork you get from watching Barbie and her sister and friends solve the puzzle. There's nothing in the movie I found offensive or inappropriate for young viewers. In fact, I felt that the moral messages of the movie were superb and well done.<br /><br />The animation was pretty good. I really enjoy the ice-skating scenes and think that they were very well done. There's a lot of action in this film, so I suspect that most kids would enjoy it... not just the ones that are really into Barbie. My daughter actually picked it out because of the Pegasus. She loves horses. But she enjoyed the movie very much. My daughter is autistic, and was able to sit through the whole movie and enjoy it. She really liked the action scenes and any parts with horses involved.<br /><br />One thing that I was thinking about was that many people object to Barbie (and Ken) because they are so beautiful. Yet, I think that kids, just like adults like to look at beautiful people and things. It's natural. As adults, we enjoy watching beautiful movie stars too. It's wonderful though, that the Barbie character and her ""boyfriend"" have a lot of personality. While it's fun to watch pretty people, it grows old if there is no substance behind the pretty face.<br /><br />Overall, I'd say this is a great movie for kids and parents will enjoy it, too. :)",positive
